title,milestone,labels,body
"EPIC 1 — Foundation & Infrastructure","Phase 1 — Foundation","epic,phase-1","## Goal\nA running containerized skeleton that every subsequent issue builds on. Security controls established from day one.\n\n### Issues in this Epic\n- [ ] #1.1 Initialize Monorepo Structure\n- [ ] #1.2 Configure GitHub Actions CI Pipeline\n- [ ] #1.3 Docker & Docker Compose Setup\n- [ ] #1.4 FastAPI Backend Skeleton\n- [ ] #1.5 React Frontend Shell\n- [ ] #1.6 Draft System Security Plan (SSP)\n- [ ] #1.7 Define Data Flow & Trust Boundary Documentation"
"Initialize Monorepo Structure","Phase 1 — Foundation","phase-1,devops,priority-critical","## Description\nSet up the repository layout so all teams can work in parallel without stepping on each other.\n\n## Acceptance Criteria\n- [ ] Root contains `/frontend`, `/backend`, `/docs`, `/docker`, `/tests`, `.github/`\n- [ ] `.gitignore` excludes `node_modules/`, `__pycache__/`, `.env`, `*.pyc`, label images\n- [ ] `README.md` at root with one-command setup instructions\n- [ ] `CODEOWNERS` file assigning review ownership per directory\n- [ ] Branch protection enabled on `main`: require 1 approval + passing CI before merge\n\n## FedRAMP Controls\nCM-2 (Baseline Configuration), CM-6 (Configuration Settings)"
"Configure GitHub Actions CI Pipeline","Phase 1 — Foundation","phase-1,devops,security,fedramp,fedramp-si,priority-critical","## Description\nEvery push must trigger automated checks. This is the enforcement gate for code quality and security.\n\n## Acceptance Criteria\n- [ ] `.github/workflows/ci.yml` runs on every PR and push to `main`\n- [ ] Python backend: `pytest`, `bandit` (SAST), `pip-audit` (SCA)\n- [ ] JS frontend: `eslint` with `eslint-plugin-security`, `npm audit`\n- [ ] Docker: `docker build` succeeds, `trivy` image scan with no CRITICAL CVEs\n- [ ] Status checks block merge on failure\n- [ ] Secrets never logged; `ANTHROPIC_API_KEY` injected via GitHub Secrets only\n- [ ] SARIF results exported to GitHub Security tab\n\n## FedRAMP Controls\nSI-3 (Malicious Code Protection), CM-3 (Configuration Change Control), SA-11 (Developer Testing)"
"Docker & Docker Compose Setup","Phase 1 — Foundation","phase-1,devops,priority-critical","## Description\nThe entire system must start with a single command for deployment in the government environment.\n\n## Acceptance Criteria\n- [ ] `docker-compose.yml` starts frontend + backend with `docker-compose up`\n- [ ] `Dockerfile` for backend: Python 3.11-slim, pinned dependency versions, non-root user\n- [ ] `Dockerfile` for frontend: Node 20-alpine, multi-stage build, static files via nginx\n- [ ] All images use digest-pinned base images (e.g., `python:3.11-slim@sha256:...`)\n- [ ] `.env.example` documents all required env vars; `.env` is gitignored\n- [ ] `docker-compose up` produces working app at `http://localhost:3000` within 60 seconds\n\n## FedRAMP Controls\nCM-7 (Least Functionality), SC-28 (Protection of Information at Rest)"
"FastAPI Backend Skeleton","Phase 1 — Foundation","phase-1,backend,priority-critical","## Description\nStand up the API with its full route surface defined — even if handlers return stubs.\n\n## Acceptance Criteria\n- [ ] `GET /health` returns `{status: ok, version: x.y.z}`\n- [ ] `POST /verify` accepts `{image: base64, application_data: {...}}`, returns stub\n- [ ] `POST /verify/batch` accepts multipart form with images + CSV, returns `{job_id}`\n- [ ] `GET /jobs/{job_id}/status` returns batch progress\n- [ ] `GET /jobs/{job_id}/results` returns completed results\n- [ ] `GET /jobs/{job_id}/export` returns CSV file\n- [ ] OpenAPI docs auto-generated at `/docs`\n- [ ] Request/response models defined with Pydantic\n- [ ] 413 returned for images > 20MB; 415 for non-image content types\n\n## FedRAMP Controls\nSI-10 (Information Input Validation), SC-8 (Transmission Confidentiality)"
"React Frontend Shell","Phase 1 — Foundation","phase-1,frontend,priority-critical","## Description\nThe UI shell with routing and layout. Design system initialized with accessibility defaults.\n\n## Acceptance Criteria\n- [ ] Single-page app with React 18 + Vite\n- [ ] Tailwind CSS configured with accessible color palette (WCAG AA contrast ratios)\n- [ ] Pages: `/` (Upload), `/results/:sessionId` (Review), `/batch` (Batch Upload)\n- [ ] Global error boundary prevents blank white screens\n- [ ] Loading states defined for all async operations\n- [ ] `<title>` and `<lang>` set correctly for screen readers\n- [ ] Connects to backend via `VITE_API_URL` env var\n\n## FedRAMP Controls\nAC-17 (Remote Access)"
"Draft System Security Plan (SSP)","Phase 1 — Foundation","phase-1,fedramp,fedramp-ra,documentation,priority-critical","## Description\nThe SSP is the primary FedRAMP artifact. Must be started in Phase 1 while architecture is being built.\n\n## Acceptance Criteria\n- [ ] `/docs/fedramp/SSP-draft.md` created with NIST 800-53r5 template structure\n- [ ] System boundary diagram included (reference ADR-001 architecture diagram)\n- [ ] Data types inventory: label images, application metadata, extracted fields, match results\n- [ ] PII handling declared: Name & Address field classified as PII; ephemeral handling described\n- [ ] System categorization justified: Moderate (C=M, I=M, A=M) per FIPS 199\n- [ ] All external connections documented: Claude Vision API, Tesseract (local)\n- [ ] Control families AC, AU, CM, IA, SC, SI mapped to implementation notes\n\n## FedRAMP Controls\nPL-2 (System Security Plan), RA-2 (Security Categorization)"
"Define Data Flow & Trust Boundary Documentation","Phase 1 — Foundation","phase-1,fedramp,fedramp-sc,documentation,priority-high","## Description\nFormal data flow documentation for FedRAMP package showing what data crosses which boundaries.\n\n## Acceptance Criteria\n- [ ] `/docs/fedramp/DATA-FLOW.md` created\n- [ ] All data flows documented: Reviewer → UI → API → OCR Engine → External API\n- [ ] Trust boundaries explicitly labeled: internal (container network), external (vision API)\n- [ ] Data classification at each boundary documented\n- [ ] Encryption in transit confirmed: HTTPS/TLS 1.2+ for all external calls\n- [ ] No data-at-rest paths confirmed and documented\n- [ ] References ADR-001 data flow diagram\n\n## FedRAMP Controls\nSC-8 (Transmission Confidentiality and Integrity), AC-4 (Information Flow Enforcement)"
"EPIC 2 — Core AI Intelligence","Phase 2 — Core Intelligence","epic,phase-2","## Goal\nA working OCR + matching pipeline that correctly extracts all 6 required label fields and applies the right matching rules for each.\n\n### Issues in this Epic\n- [ ] #2.1 Implement OCR Adapter (Claude Vision + Tesseract Fallback)\n- [ ] #2.2 Implement Image Quality Assessment\n- [ ] #2.3 Implement Field Parser\n- [ ] #2.4 Implement Fuzzy Matching Engine\n- [ ] #2.5 Implement Government Warning Exact Validator\n- [ ] #2.6 Integrate SAST and Dependency Scanning\n- [ ] #2.7 Implement Structured Audit Logging"
"Implement OCR Adapter (Claude Vision + Tesseract Fallback)","Phase 2 — Core Intelligence","phase-2,backend,ai-ml,priority-critical","## Description\nThe OCR adapter is the system's most critical component. Must work in firewalled environment via Tesseract fallback.\n\n## Acceptance Criteria\n- [ ] `backend/ocr/adapter.py` — single `extract_fields(image_bytes) → ExtractedFields` interface\n- [ ] Primary path: calls Claude Vision API with structured extraction prompt\n- [ ] Fallback path: catches `ConnectionError`/`TimeoutError`, runs Tesseract locally\n- [ ] Fallback activates within 3 seconds of first timeout\n- [ ] `ExtractedFields` dataclass contains all 7 fields + `confidence_score` + `ocr_engine_used`\n- [ ] API key loaded from env var only — never hardcoded\n- [ ] Unit tests: mock API success, mock API timeout (triggers fallback), malformed image\n\n## FedRAMP Controls\nSA-9 (External System Services), SC-8 (Transmission Confidentiality)"
